epoch,total,wss,physics,bc_noslip,pressure,inlet,outlet,res_mom_x,res_mom_y,res_mom_z,res_cont,nut_mean,nut_max,mu_ratio_mean,mu_ratio_max,lr,grad_norm_wss,aw_wss,grad_norm_physics,aw_physics,grad_norm_bc_noslip,aw_bc_noslip,grad_norm_pressure,aw_pressure,grad_norm_inlet,aw_inlet,grad_norm_outlet,aw_outlet
1,20535919.5,75.6295166015625,2052352416.0,539.2032165527344,158.1815948486328,305.39920806884766,229.31787872314453,13384.932006835938,10489.701416015625,10278.337158203125,161.57239532470703,1.8801373839378357,20.795454502105713,1.0185345709323883,1.0617877840995789,9.999999755727293e-05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2,586915.375,69.22466278076172,57718101.0,483.1710510253906,99.02761840820312,310.21435546875,74.08696746826172,2597.2701416015625,2216.138946533203,2146.2957458496094,153.4639434814453,0.1510321944952011,7.791958808898926,1.0192968547344208,1.069750964641571,9.999999022909196e-05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3,128714.203125,62.662466049194336,12117704.5,384.04908752441406,69.25905227661133,282.5522689819336,11.566535830497742,1588.4140625,1357.8841552734375,1365.24169921875,145.4720230102539,0.0035296095884405077,0.9202675521373749,1.0201635658740997,1.071376085281372,9.999997801545782e-05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4,74814.78515625,55.95661544799805,6920853.25,274.5955047607422,59.24263000488281,211.53102111816406,9.636300563812256,1224.680419921875,1006.1076202392578,1029.7207641601562,137.00225830078125,0.0011034585477318615,0.019085788633674383,1.0212439000606537,1.074833869934082,9.999996091637173e-05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5,45529.490234375,50.05831718444824,4150322.75,202.64080810546875,46.42302894592285,141.08788299560547,7.445061206817627,971.1342468261719,758.0210571289062,782.6191101074219,129.05481338500977,0.001033485372317955,0.020818448858335614,1.0224312245845795,1.0839735865592957,9.999993893183533e-05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6,31646.6650390625,44.84057807922363,2862587.25,165.33954620361328,35.44698524475098,92.43217468261719,4.35257875919342,814.5625610351562,603.1097564697266,635.3862609863281,120.77886772155762,0.0010601759422570467,0.07169011258520186,1.0237380266189575,1.099741518497467,9.999991206185084e-05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7,22581.6806640625,40.30639839172363,2025108.5625,137.38916778564453,29.326212882995605,58.529964447021484,3.7595787048339844,684.8346252441406,495.00242614746094,525.1921005249023,112.78376388549805,0.0012040893780067563,0.2840161076746881,1.025056391954422,1.1057156920433044,9.999988030642087e-05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8,16029.2109375,36.50289726257324,1425968.75,113.78323745727539,24.325237274169922,33.31317710876465,1.8565496504306793,575.5472869873047,413.5612487792969,440.26683044433594,105.90102005004883,0.0012398250692058355,0.3419966660439968,1.0263085663318634,1.0985804200172424,9.99998436655486e-05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9,11950.82421875,33.308698654174805,1052573.40625,96.81371307373047,20.675350189208984,19.10785961151123,2.557307779788971,497.8157043457031,354.0919952392578,381.7359924316406,99.73077201843262,0.0011718356690835208,0.20355767756700516,1.027543544769287,1.0957365036010742,9.99998021392376e-05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10,8983.376953125,30.641075134277344,784338.0,81.99015426635742,17.803977966308594,10.277373790740967,0.8401863276958466,430.9265670776367,302.73892974853516,327.32078552246094,94.40452575683594,0.001086565898731351,0.0767495259642601,1.0287549197673798,1.1133221983909607,9.999975572749201e-05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
