Variable,MAE,RMSE,R²,Rel. Error (%)
WSS,0.1476 ± 0.1392,0.3205 ± 0.3676,0.86 ± 0.11,22.3 ± 7.9
Pressure,5.2074 ± 1.6919,7.2319 ± 2.6278,0.81 ± 0.14,25.6 ± 24.8
